ID;Fecha;CUEST_ID;Estado;P0;P0_ccaa;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10R1;P10R2;P10R3;P10R4;P10R5;P10R6;P10R7;P10R8;P10R9;P10R10;P10R11;P10R12;P10R13;P10R99;P11R1;P11R2;P11R3;P11R4;P11R5;P11R6;P11R7;P11R8;P11R9;P11R10;P11R11;P11R12;P11R13;P11R99;P12;P13;P14_20P14;P14_20P15;P14_20P16;P14_20P17;P14_20P18;P14_20P19;P14_20P20;P21;P22R1;P22R2;P22R3;P22R4;P22R5;P22R6;P22R7;P22R9;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38R1;P38R2;P38R3;P38R4;P38R5;P38R6;P38R7;P38R8;P38R9;P39;P40;P41_55P41;P41_55P42;P41_55P43;P41_55P44;P41_55P45;P41_55P46;P41_55P47;P41_55P48;P41_55P49;P41_55P50;P41_55P51;P41_55P52;P41_55P53;P41_55P54;P41_55P55;P56;P57R1;P57R2;P57R3;P57R4;P57R5;P57R9;P58;P59R1;P59R2;P59R3;P59R4;P59R5;P59R6;P59R7;P59R9;P60R1;P60R2;P60R3;P60R4;P60R5;P60R6;P60R7;P60R8;P60R9;P60R10;P60R11;P60R12;P61;P62_68P62;P62_68P63;P62_68P64;P62_68P65;P62_68P66;P62_68P67;P62_68P68;P69_75P69;P69_75P70;P69_75P71;P69_75P72;P69_75P73;P69_75P74;P69_75P75;P76;P77;P78;P79;P80;P81;P82_90P82;P82_90P83;P82_90P84;P82_90P85;P82_90P86;P82_90P87;P82_90P88;P82_90P89;P82_90P90;P91_95P91;P91_95P92;P91_95P93;P91_95P94;P91_95P95;P96_100P96;P96_100P97;P96_100P98;P96_100P99;P96_100P100;P101_103P101;P101_103P102;P101_103P103;P104;P105_111P105;P105_111P106;P105_111P107;P105_111P108;P105_111P109;P105_111P110;P105_111P111;P105_111P112;REC_depender;REC_trabajar;REC_paro;REC_poderadquisitivo;REC_menoshobbies;REC_recortebasico;REC_estadoanimico;PONDE;TODES;P1_EDAD;P2_SEXO;P3_ESTUDIOS;P4_ACTIVIDAD;P6_CLASESOCIAL;P8_IDEOLOGIA;P9_RELIGION;REC_vacaciones;REC_ahorrar;REC_gastosimprevistos;REC_caprichos;REC_temperatura;REC_ordenador;REC_facturas;carencia;CarenciaMaterial;P7rec;P56rec1;P56rec2;P80rec1;P80rec2;P81rec1;P81rec2;P81rec3;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P41_P55;VAR00001;VAR00002;VAR00003;VAR00004;P41_P55rec
861bf639-0f06-1c44-be09-c2300b0069db;2023-02-02 10:48:23;4552160;FINALIZADO;41;Castilla y León;28;2;7;2;3;3;5;7;0;1;2; ; ; ; ; ;8; ; ; ; ; ; ; ;2; ; ;5; ; ; ; ; ;11; ; ; ;2;2;7;3;7;6;9;9;8; ;1; ;3; ; ; ; ; ;2;3;1;3;3;2;5;5;3;2;2;2;3;2;2; ;2;3; ; ; ; ; ; ;3;2;8;6;6;2;8;3;8;7;5;1;9;1;1;0;1;3; ; ; ; ;5; ;2; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;3;7;9;7;5;8;8;2;4;8;9;7;5;8;6;6;2;2;3;3;2;0;0;0;0;0;6;0;0;0;0;0;0;8;1;1;1;1;1;3;0;0;0;3;1;1;1;1;1;1;2;1;3;1;3;2;3;3;3;,738028169;0;3;1;3;3;2;3;1;1;1;1;1;1;1;1;1;1;2;0;3;3;3;0;2;2;3;2;2;1;3;1;3;3;2;1;3;1;1;1;1;5; ; ; ; ;3
026084ac-e326-6ec0-c59c-b04b9e40a54e;2023-02-02 10:41:00;4552161;FINALIZADO;1;País Vasco;15;1;1;7;5;5;5;2;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12; ; ;3;2;3;6;5;6;1;5;7; ; ; ; ; ;5; ; ; ;4;3;4;2;4;2;2;4;3;4;3;4;4;3;3; ; ;3; ; ; ; ; ; ;4;3;6;5;6;7;0;1;7;6;7;6;6;0;5;3;0;4; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;6; ; ; ; ; ; ;3;2;3;2;0;3;1;1;5;4;2;3;1;4;6;5;3;4;5;4;5;6;6;2;5;2;5;1;2;0;6;5;7;4;6;2;2;5;3;2;5;4;5;3;1;2;1;1;1;1;2;1;1;2;2;2;1;2;3;1,278846154;0;1;2;1;4;3;1;2;1; ;1;1;1;1;1;2;2;3;0;4;3;3;0;4;4;2;2;2;3;1;1;3;2;3;2;2;1;2;1;1;3; ; ; ; ;3
028dbcea-9e79-53ff-28da-88a62350f80a;2023-02-02 10:42:40;4552162;FINALIZADO;30;C. Madrid;29;2;8;1;4;3;5;0;10; ;2; ; ; ; ; ; ; ; ;11; ; ; ; ;2;3; ;5; ; ; ; ; ; ; ; ; ;2;3;0;0;0;0;0;0;0; ; ; ; ;4; ; ; ; ;3;3;3;3;4;3;4;4;3;4;4;4;4;3;3;1; ; ; ; ; ; ; ; ;2;2;10;7;8;2;10;0;99;5;9;1;4;3;3;9;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ; ; ;3;2;4;5;6;0;3;1;0;1;3;2;4;3;2;1;3;3;3;3;3;9;5;5;6;7;5;99;0;7;6;5;5;6;1;3;3;4;3;4;5;7;5;3;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;,738028169;0;3;1;3;1;2;1;3; ;1;1; ; ;1;1;4;2;3;0;2;3;3;0;3;3;3;3;3;1;3;1;4;2;3;1;2;1;1;3;2;6; ; ; ; ;4
081ce98b-244b-03f2-b9bb-dd37812d4214;2023-02-02 10:55:17;4552163;FINALIZADO;16;Andalucía;28;2;8;2;3;4;3;1;1; ; ;3; ; ; ;7; ; ;10; ; ; ; ; ; ;3; ;5; ; ;8; ; ; ; ; ; ;3;2;8;10;10;10;10;10;10; ;1;2; ; ; ; ; ; ;2;3;2;3;3;2;1;4;2;4;3;3;2;4; ; ; ; ; ; ; ; ; ; ;2;2;10;10;6;9;9;8;10;10;9;10;10;8;10;5;10;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;3;10;9;7;8;10;9;9;6;3;8;1;1;2;2;4;4;4;5;4;2;0;5;0;0;0;0;0;5;0;0;9;10;10;10;1;1;1;1;1;5;4;10;3;1;1;1;1;1;1;2;1;3;3;3;3;3;3;3;,738028169;0;3;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;2;0;4;3;3;0;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;13; ; ; ; ;4
822d62af-72ed-8cfb-889f-560664c7144e;2023-02-02 10:41:04;4552164;FINALIZADO;17;Galicia;23;2;6;3;1;4;3;7;7; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;11; ; ; ;2;3;4;3;5;6;6;3;2; ; ; ; ; ;5; ; ; ;2;3;1;2;3;1;3;3;2;2;3;3;2;2;2; ; ;3; ; ; ; ; ; ;2;3;6;7;7;7;5;6;4;6;7;8;4;5;4;6;7;2; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2;6;4;3;9;8;4;7;6;3;8;7;9;8;8;7;3;4;3;2;3;0;2;0;0;0;1;0;3;0;0;0;0;0;0;1;1;1;2;1;0;0;0;6;1;1;1;1;1;1;1;1;2;1;2;2;2;1;1;,738028169;0;2;1;3;3;3;3;3;1;1;1;1;1;1;1;0;1;2;0;2;2;2;0;3;3;2;3;3;3;2;2;2;2;3;3;2;2;2;2;3;6; ; ; ; ;4
ce53f9bf-ba01-16a9-f68f-cd78de11bc5b;2023-02-02 12:13:20;4552165;FINALIZADO;8;Cataluña;26;2;6;1;2;4;3;5;0; ; ;3; ; ; ;7;8; ; ; ; ; ; ; ; ;3; ;5; ; ;8; ; ; ; ; ; ;2;3;7;5;5;5;10;10;10; ;1;2; ; ; ; ; ; ;2;3;3;2;1;3;6;6;2;3;2;1;2;2;2; ; ;3; ; ; ; ; ; ;2;1;6;2;6;1;5;5;5;4;4;6;3;6;5;3;6;3; ; ; ; ;5; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;3;6;4;5;6;6;5;5;6;4;6;6;6;4;6;7;3;3;2;3;4;0;0;0;0;0;0;0;0;0;5;0;4;5;5;2;1;1;3;1;0;0;0;1;1;2;2;2;1;1;2;99;3;2;2;2;3;3;3;,738028169;0;3;1;3;1;3;2;1;1; ; ; ;1;1; ;4;2;1;0;3;3;3;0;3;4;2;1;2;1;2;2;2;2;2;2;1;2;2;1;2;0; ; ; ; ;1
74cc3fb3-e8a6-d3b0-6983-0be77bb66e53;2023-02-02 10:41:19;4552168;FINALIZADO;33;Región de Murcia;24;2;3;5;1;2;4;10;4;1; ; ;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;9; ; ; ; ; ;2;2;6;9;3;5;7;2;7; ; ; ;3; ; ; ; ; ;3;3;2;3;2;2;4;3;2;3;3;2;2;2;2;1; ; ; ; ; ; ; ; ;1;3;9;2;8;4;7;9;7;7;4;6;4;5;1;4;9;3; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;7; ; ;10; ; ;2;9;7;6;7;2;1;4;1;4;3;1;5;8;8;4;4;3;4;1;5;7;2;8;7;2;1;6;7;6;6;6;1;9;6;4;4;5;3;5;2;5;6;3;99;1;2;2;99;99;1;2;2;3;1;2;3;1;3;1,278846154;0;2;1;1;4;1;3;2; ;1; ; ; ; ; ;3;2;1;0;3;1;1;0;4;4;3;1;3;2;3;3;3;3;2;2;2;2;1;2;3;7; ; ; ; ;4
2231a699-111e-4a5c-94a9-921a770e9778;2023-02-02 10:51:28;4552170;FINALIZADO;39;La Rioja;19;1;3;6;3;4;2;4;5; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ;3;2;5;7;99;8;6;7;6;2; ; ; ; ;5; ; ; ;2;3;3;1;2;2;4;4;3;2;5;2;2;4; ; ; ; ; ; ; ; ; ; ;2;2;7;5;8;0;7;9;0;0;0;5;5;4;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2;5;10;10;10;9;10;10;10;7;10;10;5;5;6;6;1;3;2;1;1;0;0;5;0;0;4;0;10;5;0;0;0;5;2;1;1;1;3;4;0;0;0;4;2;2;1;1;2;2;1;2;2;3;9;3;2;3;2;1,278846154;0;1;2;1;4;3;2;2; ; ;1;1; ; ; ;5;3;1;1;1;1;1;1;1;1;3;2;3;1;3;3;1;1;1;2;2;2;1;1;1;4; ; ; ; ;3
05964ee6-2f93-a245-33d6-7abdaa9c4978;2023-02-02 10:57:56;4552171;FINALIZADO;49;Castilla y León;20;1;5;3;3;3;5;4;0; ;2;3; ; ; ; ;8; ; ; ; ; ; ; ;2;3; ; ; ; ;8; ; ; ; ; ; ;3;2;7;8;5;6;8;7;5; ;1;2; ; ; ; ; ; ;2;3;2;3;1;3;5;6;3;2;4;2;2;4; ; ; ; ; ; ; ; ; ; ;2;2;4;4;7;6;2;5;8;1;4;2;4;1;1;5;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;3;6;1;2;2;7;4;2;5;2;5;8;1;2;4;9;1;1;3;2;1;0;0;0;0;0;0;0;4;0;10;8;10;9;6;1;1;1;3;1;10;10;10;4;1;1;1;1;1;1;2;1;3;3;2;2;3;3;2;1,018018018;0;2;2;2;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;3;2;1;2;3;1;2;1;2;1;1;2;1;2; ; ; ; ;3
ffeb1aad-b44b-e903-4e9d-2ec00547d159;2023-02-02 10:50:58;4552174;FINALIZADO;47;C. La Mancha;28;2;7;1;1;4;3;6;3;1;2; ; ; ; ; ; ; ;10; ; ; ; ; ;2;3; ;5; ; ; ; ; ; ; ; ; ;3;2;8;10;8;8;10;10;7; ;1;2; ; ; ; ; ; ;2;3;4;3;3;2;2;2;3;3;4;3;3;1;1; ; ;3; ;5; ; ; ; ;2;1;5;7;5;5;4;9;2;6;5;5;4;6;7;7;7;3; ; ; ; ;5; ;1; ; ; ; ;5;6; ; ; ; ; ; ; ; ; ; ; ; ;11; ;3;6;6;6;7;9;7;0;10;9;10;5;5;2;5;8;1;1;1;2;1;0;5;0;0;0;0;0;0;0;0;0;5;0;0;1;1;1;1;1;0;10;0;5;1;2;2;2;2;1;1;1;3;3;3;3;3;3;3;,738028169;0;3;1;3;1;3;2;1;1; ; ; ; ;1;1;4;2;2;0;3;2;2;1;1;1;2;3;2;2;2;3;1;2;2;2;2;2;3;3;3;5; ; ; ; ;3
